#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Corynebacterium riegelii	ATCC 700782, CCUG 38180, CIP 105310, DMMZ 2415, DSM 44326, JCM 10389	yes	no
Corynebacterium simulans	ATCC BAA-15, CCUG 43305, CIP 106488, Co 553, DSM 44415, JCM 12107, UCL 553	yes	no
Corynebacterium singulare	CCUG 37330, CIP 105491, DSM 44357, IBS B52218, IFO 16162, JCM 10385, NBRC 16162	yes	yes
Corynebacterium sphenisci	CCUG 46398, CECT 5990, DSM 44792, JCM 12270	yes	yes
Corynebacterium spheniscorum	CCUG 45512, CECT 5986, DSM 44757, JCM 12271, PG 39, PG39	yes	no
Corynebacterium sputi	CCUG 55795, DSM 45148, IMMIB L-999, JCM 17321	yes	yes
Corynebacterium stationis	ATCC 14403, CCUG 43497, CIP 104228, DSM 20302, JCM 11611, NBRC 12144, VKM B-1228	yes	yes
Corynebacterium striatum	ATCC 6940, CCUG 27949, CIP 81.15, DSM 20668, IFO 15291, JCM 9390, NBRC 15291, NCTC 764	yes	yes
Corynebacterium suicordis	CCUG 46963, CECT 5724, DSM 44851, DSM 45110, JCM 12370, P81/02	no	no
Corynebacterium sundsvallense	CCUG 36622, CIP 105936, DSM 44613, JCM 12401	yes	no
Corynebacterium tapiri	2385/12, CCUG 65456, LMG 28165	yes	no
Corynebacterium terpenotabidum	CIP 105927, DSM 44721, IFO 14764, JCM 10555, NBRC 14764, VKM Ac-2071, Y-11	yes	yes
Corynebacterium testudinoris	CCUG 41823, CIP 106763, DSM 44614, JCM 12108, M935/96/4	yes	yes
Corynebacterium thomssenii	CCUG 38516, CIP 105597, DSM 44276, JCM 12109, Tho 218/95	yes	no
Corynebacterium timonense	5401744, CCUG 53856, CIP 109424, CSUR P20, DSM 45434	yes	yes
Corynebacterium trachiae	280/10, CIP 110796, LMG 28214	yes	no
Corynebacterium tuberculostearicum	ATCC 35529, ATCC 35692, CCUG 45418, CIP 107291, DSM 44922, JCM 13389, LDC-20, Medalle X	yes	no
Corynebacterium tuscaniense	ATCC BAA-1141, CCUG 51321, DSM 45101, ISS 5309, JCM 15294	yes	no
Corynebacterium ulcerans	ATCC 51799, CCUG 2708, CIP 106504, DSM 46325, JCM 10387, NCTC 7910	yes	yes
Corynebacterium ulceribovis	CCUG 55727, DSM 45146, IMMIB L-1395	yes	yes
Corynebacterium urealyticum	ATCC 43042, CCUG 18158, CIP 103524, DSM 7109, JCM 10395, LMG 19041, NCTC 12011	yes	yes
Corynebacterium ureicelerivorans	CCUG 53377, DSM 45051, IMMIB RIV-2301, JCM 15295	yes	yes
Corynebacterium urinapleomorphum	CSUR P2799, Marseille-P2799	yes	yes
Corynebacterium uropygiale	DSM 46817, Iso10, LMG 28616	yes	no
Corynebacterium uterequi	CCUG 61235, DSM 45634, VM 2298	yes	yes
Corynebacterium variabile	ATCC 15753, ATCC 15753 [[Caseobacter polymorphus]], ATCC 15753 [[Corynebacterium mooreparkense]], ATCC 33010, ATCC 33010 [[Caseobacter polymorphus]], ATCC 33010 [[Corynebacterium mooreparkense]], CCM 1565, CCUG 45246, CIP 102112, CIP 107183, CIP 107183 [[Caseobacter polymorphus]], CIP 107183 [[Corynebacterium mooreparkense]], DPC 5310, DPC 5310 [[Caseobacter polymorphus]], DPC 5310 [[Corynebacterium mooreparkense]], DSM 20132, DSM 20132 [[Caseobacter polymorphus]], DSM 20132 [[Corynebacterium mooreparkense]], DSM 20536, DSM 20536 [[Caseobacter polymorphus]], DSM 20536 [[Corynebacterium mooreparkense]], HAMBI 1872, IFO 14757, IFO 14757 [[Caseobacter polymorphus]], IFO 14757 [[Corynebacterium mooreparkense]], IFO 15286, IMET 10350, IMET 10350 [[Caseobacter polymorphus]], IMET 10350 [[Corynebacterium mooreparkense]], IMET 11242, IMET 11242 [[Caseobacter polymorphus]], IMET 11242 [[Corynebacterium mooreparkense]], JCM 12073, JCM 12073 [[Caseobacter polymorphus]], JCM 12073 [[Corynebacterium mooreparkense]], JCM 2154, LMD AC 256, LMD AC 256 [[Caseobacter polymorphus]], LMD AC 256 [[Corynebacterium mooreparkense]], LMG S-19265, LMG S-19265 [[Caseobacter polymorphus]], LMG S-19265 [[Corynebacterium mooreparkense]], NBRC 15286, NCDO 2097, NCDO 2097 [[Caseobacter polymorphus]], NCDO 2097 [[Corynebacterium mooreparkense]], NCIB 9455, NCIMB 30131, NCIMB 30131 [[Caseobacter polymorphus]], NCIMB 30131 [[Corynebacterium mooreparkense]], NCIMB 9455, NRRL B-4201, VKM Ac-1122	yes	yes
Corynebacterium vitaeruminis	ATCC 10234, CCUG 28792, CIP 82.7, DSM 20294, IFO 12143, IMET 11372, IMET 13372, JCM 1323, LMG 19075, NBRC 12143, NCIB 9291, NCIMB 9291, VKM B-1211	yes	yes
Corynebacterium xerosis	ATCC 373, CCUG 27544, CIP 100653, DSM 20743, IFO 16721, JCM 1971, NBRC 16721, NCTC 11861	yes	yes
Cosenzaea myxofaciens	ATCC 19692, BCRC 12222, CCRC 12222, CCUG 18769, CIP 106872, DSM 4482, JCM 1670, LMG 7876, NBRC 105711, NCIMB 13273	yes	yes
Costertonia aggregata	JCM 13411, KCCM 42265, KOPRI 13342	yes	no
Couchioplanes caeruleus	ATCC 33937, DSM 43634, IFO 13939, JCM 3195, NBRC 13939, NRRL 5325, SCC 1014, VKM Ac-1257	yes	yes
Couchioplanes caeruleus subsp. azureus	ATCC 31157, DSM 43900, DSM 44103, IFO 13993, JCM 3246, NBRC 13993, VKM Ac-2019	yes	no
Couchioplanes caeruleus subsp. caeruleus	ATCC 33937, DSM 43634, IFO 13939, IMET 9248, SCC 1014	no	no
Coxiella burnetii	ATCC VR 615, ATCC VR-615	yes	no
Coxiella cheraxi	TO-98	yes	no
Crassaminicella profunda	DSM 27501, JCM 19377, Ra1766H	yes	no
Craurococcus roseus	CIP 105707, JCM 9933, NS130	yes	no
Crenalkalicoccus roseus	JCM 19657, KACC 17825, YIM 78023	yes	no
Crenobacter luteus	BCRC 80650, DSM 27258, KCTC 32558, YIM 78141	yes	no
Crenotalea thermophila	DSM 14807, JCM 11541, STH-1-Y1	yes	yes
Criblamydia sequanensis	CRIB-18	yes	yes
Cribrihabitans marinus	CGMCC 1.13219, CZ-AM5, JCM 19401	yes	no
Cribrihabitans neustonicus	BCRC 80695, CC-AMHB-3, JCM 19537	yes	no
Cribrihabitans pelagius	KCTC 42981, KMU-32, NBRC 111834, stran KMU-32	yes	no
Cricetibacter osteomyelitidis	CCUG 36451, DSM 28404, HIM 943-7, HIM 943/7, HIM943/7, Kunstyr 507/85, MCCM2120	yes	no
Criibacterium bergeronii	CCRI-22567	yes	yes
Crinalium epipsammum	ATCC 49662, SAG 22.89	yes	no
Croceibacter atlanticus	ATCC BAA-628, HTCC2559, JCM 21780, KCTC 12090	yes	yes
Croceicoccus marinus	CGMCC 1.6776, E4A9, JCM 14846	yes	yes
Croceicoccus mobilis	CGMCC 1.15360, DSM 101481, Ery22	yes	yes
Croceicoccus naphthovorans	CGMCC 1.12805, NBRC 110381, PQ-2	yes	yes
Croceicoccus pelagius	CGMCC 1.15358, DSM 101479, Ery9	yes	yes
Croceifilum oryzae	CCUG 66446, DSM 46876, JCM 30426, ZYf1a3	yes	no
Croceitalea dokdonensis	DOKDO 023, JCM 13826, KCCM 42308	yes	yes
Croceitalea eckloniae	DOKDO 025, JCM 13827, KCCM 42309	yes	no
Croceitalea litorea	CBA3205, JCM 19531, KACC 17669	yes	no
Croceitalea marina	H01-35, KCTC 52368, MCCC 1K03229	yes	no
Croceivirga radicis	HSG9, KCTC 52589, MCCC 1A06690	no	yes
Crocinitomix algicola	0182, KCTC 42868, MCCC 1H00128	yes	yes
Crocinitomix catalasitica	ATCC 23190, IFO 15977, NCIMB 1418	yes	yes
Crocosphaera watsonii	WH 8501	yes	yes
Cronbergia amazonensis	CMAA1598	yes	no
Cronbergia siamensis	CCALA 756, SAG 11.82, SAG B11.82	yes	no
Cronobacter condimenti	1330, CECT 7863, LMG 26250	yes	yes
Cronobacter dublinensis	CFS237, DES187, DSM 18705, JCM 16467, LMG 23823	yes	yes
Cronobacter dublinensis subsp. dublinensis	DES187, DSM 18705, LMG 23823	no	no
Cronobacter dublinensis subsp. lactaridi	DSM 18707, E464, JCM 16468, LMG 23825	yes	yes
Cronobacter dublinensis subsp. lausannensis	DSM 18706, E515, JCM 16469, LMG 23824	yes	yes
Cronobacter malonaticus	API 76-2121, CDC 1058-77, DSM 18702, E825, LMG 23826	yes	yes
Cronobacter muytjensii	ATCC 51329, CIP 103581, DSM 21870	yes	yes
Cronobacter sakazakii	ATCC 29544, CCUG 14558, CDC 4562-70, CDC 4562-70 (78-067947), CIP 103183, DSM 4485, JCM 1233, LMG 5740, NBRC 102416, NCTC 11467	yes	yes
Cronobacter turicensis	3032, DSM 18703, LMG 23827, z3032	yes	no
Cronobacter universalis	CECT 7864, LMG 26249, NCTC 9529	yes	yes
Crossiella cryophila	ATCC 51143, DSM 44230, IFO 14475, JCM 9111, NBRC 14475, NRRL B-16238, Okami TS-1980, VKM Ac-1965, Y. Okami TS-1980	yes	no
Crossiella equi	DSM 44580, JCM 12685, LDDC 22291-98, NBRC 101840, NRRL B-24104	yes	yes
Cruoricaptor ignavus	CCUG 62025, DSM 25479, IMMIB L-12475	yes	yes
Cryobacterium arcticum	DSM 22823, NCCB 100316, SK1	yes	no
Cryobacterium aureum	CGMCC 1.11213, Hh31, NBRC 107882	yes	yes
Cryobacterium flavum	CGMCC 1.11215, Hh8, NBRC 107879	yes	yes
Cryobacterium levicorallinum	CGMCC 1.11211, Hh34, NBRC 107883	yes	no
Cryobacterium luteum	CGMCC 1.11210, Hh15, NBRC 107880	yes	yes
Cryobacterium mesophilum	DSM 19267, JCM 16539, KCTC 19270, MSL-15	yes	no
Cryobacterium psychrophilum	27-O-b, ATCC 43563, CIP 105227, DSM 4854, IAM 12024, IFO 15735, JCM 1463, K. Inoue and K. Komagata 27-O-b, NBRC 15735, NCIMB 2068, VKM Ac-2100	yes	no
Cryobacterium psychrotolerans	0549, CGMCC 1.5382, JCM 13925	yes	yes
Cryobacterium roopkundense	DSM 21065, JCM 15131, RuGl7	yes	yes
Cryomorpha ignava	1-22, ACAM 647, CIP 107453, LMG 21436	yes	no
Cryptanaerobacter phenolicus	ATCC BAA-820, DSM 15808, LR7.2	yes	no
Cryptobacterium curtum	12-3, ATCC 700683, DSM 15641	yes	yes
Cryptosporangium arvum	DSM 44712, IFO 15965, JCM 10424, NBRC 15965, YU 629-21	yes	yes
Cryptosporangium aurantiacum	71-C38, AS 4.1052, DSM 46144, IFO 13967, IMET 9261, IMSNU 22120, JCM 3241, KCC A-0241, KCTC 9529, NBRC 13967, NCIMB 12649, NRRL B-16698	yes	yes
Cryptosporangium cibodasense	InaCC A457, LIPI11-2-Ac046, NBRC 110976	yes	no
Cryptosporangium eucalypti	BCC 77605, EURKPP3H10, NBRC 111482	no	no
Cryptosporangium japonicum	DSM 44713, IFO 15966, JCM 10425, NBRC 15966, YU 636-3	yes	no
Cryptosporangium minutisporangium	A-60, ATCC 49415, DSM 44714, IFO 15962, IMRU LL-A-60, JCM 9458, KCTC 9642, LL-A-60, NBRC 15962	yes	no
Cryptosporangium mongoliense	MN08-A0264, NBRC 105887, VTCC D9-27	yes	no
Cucumibacter marinus	CL-GR60, DSM 18995, KCCM 90027	yes	yes
Culturomica massiliensis	CSUR P2698, DSM 103121, Marseille-P2698	yes	yes
Cumulibacter manganitolerans	2-36, CCTCC AA 2016026, DSM 103787	yes	no
Cuneatibacter caecimuris	BARN-424-CC-10, DSM 29486, KCTC 15539	yes	no
Cuniculiplasma divulgatum	JCM 30642, S5, VKM B-2941	yes	yes
Cupriavidus alkaliphilus	ASC-732, CIP 110330, LMG 26294	yes	yes
Cupriavidus basilensis	DSM 11853, LMG 18990, LMG 19474, RK1	yes	no
Cupriavidus campinensis	CCUG 44526, CIP 107177, LMG 19282, WS2	yes	no
Cupriavidus gilardii	API 121-2-84, API 141-2-84, ATCC 700815, CCUG 38401, CIP 105966, Gilardi 4325, JCM 11283, LMG 5886	yes	no
Cupriavidus laharis	1263a, CIP 108726, PNCM 10347	yes	no
Cupriavidus metallidurans	ATCC 43123, CCUG 13724, CCUG 38400, CH 34, CH34, CIP 107179, DSM 2839, JCM 21315, LMG 1195, NBRC 102507	yes	yes
Cupriavidus nantongensis	KCTC 42909, LMG 29218, X1	yes	yes
Cupriavidus necator	ATCC 17697 [[Alcaligenes eutrophus]], ATCC 17697 [[Ralstonia eutropha]], ATCC 17697 [[Wautersia eutropha]], ATCC 43291, CCUG 52238, CIP 103161, DSM 13513, DSM 531 [[Alcaligenes eutrophus]], DSM 531 [[Ralstonia eutropha]], DSM 531 [[Wautersia eutropha]], IMET 10383 [[Alcaligenes eutrophus]], IMET 10383 [[Ralstonia eutropha]], IMET 10383 [[Wautersia eutropha]], LMG 8453, N-1	yes	yes
Cupriavidus numazuensis	CIP 108892, DSM 15562, LMG 26411, NBRC 100056, TE26	yes	no
Cupriavidus oxalaticus	ATCC 11883, CCUG 2086, DSM 1105, JCM 11285, LMG 2235, NBRC 13593, NCIMB 8642, Ox1	yes	yes
Cupriavidus pampae	CCM-A-29:1289, CCUG 55948, CPDB6	no	no
Cupriavidus pauculus	ATCC 700817, CCUG 12507, CDC E6793, CIP 105943, DSM 17313, JCM 11286, LMG 3244	yes	no
Cupriavidus pinatubonensis	1245, CIP 108725, PNCM 10346	yes	no
Cupriavidus plantarum	ASC-64, BCCM/LMG 26296, CIP 110328, LMG 26296	yes	no
Cupriavidus respiraculi	AU3313, CCUG 46809, LMG 21510	yes	no
Cupriavidus taiwanensis	CCUG 44338, CIP 107171, LMG 19424, R1	yes	yes
Cupriavidus yeoncheonensis	DCY86, JCM 19890, KCTC 42053	yes	no
Curtobacterium albidum	ATCC 15831, CCM 2296, CIP 102693, DSM 20512, HAMBI 2039, IAM 1631, IFO 15078, JCM 1344, NBRC 15078, NCIB 11030, VKM B-1206	yes	no
Curtobacterium ammoniigenes	B55, JCM 14609, NBRC 101786, VTCC D6-11	yes	yes
Curtobacterium citreum	ATCC 15828, CCM 2297, CCUG 12163, CCUG 28999, CIP 81.26, DSM 20528, IAM 1614, IFO 12677, IMET 10359, JCM 1345, LMG 8786, NBRC 12677, NCIB 10702, VKM B-1207	yes	no
Curtobacterium flaccumfaciens	ATCC 25283, ATCC 25283 [[Corynebacterium betae]], ATCC 25283 [[Corynebacterium flaccumfaciens subsp. betae]], ATCC 25283 [[Corynebacterium oortii]], ATCC 25283 [[Corynebacterium poinsettiae]], ATCC 9682, ATCC 9682 [[Corynebacterium betae]], ATCC 9682 [[Corynebacterium flaccumfaciens subsp. betae]], ATCC 9682 [[Corynebacterium oortii]], ATCC 9682 [[Corynebacterium poinsettiae]], CIP 107085, DSM 20129, DSM 20129 [[Corynebacterium betae]], DSM 20129 [[Corynebacterium flaccumfaciens subsp. betae]], DSM 20129 [[Corynebacterium oortii]], DSM 20129 [[Corynebacterium poinsettiae]], ICMP 2584, IMET 10506, IMET 10506 [[Corynebacterium betae]], IMET 10506 [[Corynebacterium flaccumfaciens subsp. betae]], IMET 10506 [[Corynebacterium oortii]], IMET 10506 [[Corynebacterium poinsettiae]], JCM 9670, LMG 3596, LMG 3596 [[Corynebacterium betae]], LMG 3596 [[Corynebacterium flaccumfaciens subsp. betae]], LMG 3596 [[Corynebacterium oortii]], LMG 3596 [[Corynebacterium poinsettiae]], LMG 3645, LMG 3702, LMG 3702 [[Corynebacterium betae]], LMG 3702 [[Corynebacterium flaccumfaciens subsp. betae]], LMG 3702 [[Corynebacterium oortii]], LMG 3702 [[Corynebacterium poinsettiae]], NCPPB 1446, NCPPB 1446 [[Corynebacterium betae]], NCPPB 1446 [[Corynebacterium flaccumfaciens subsp. betae]], NCPPB 1446 [[Corynebacterium oortii]], NCPPB 1446 [[Corynebacterium poinsettiae]], NCPPB 2113, NCPPB 2113 [[Corynebacterium betae]], NCPPB 2113 [[Corynebacterium flaccumfaciens subsp. betae]], NCPPB 2113 [[Corynebacterium oortii]], NCPPB 2113 [[Corynebacterium poinsettiae]], NCPPB 374, NCPPB 374 [[Corynebacterium betae]], NCPPB 374 [[Corynebacterium flaccumfaciens subsp. betae]], NCPPB 374 [[Corynebacterium oortii]], NCPPB 374 [[Corynebacterium poinsettiae]]	yes	no
Curtobacterium herbarum	DSM 14013, JCM 12140, LMG 19917, NBRC 103064, P 420/07	yes	no
Curtobacterium luteum	ATCC 15830, CCM 2298, CCUG 23848, CIP 102694, DSM 20542, IAM 1623, IFO 12676, IMET 10360, JCM 1480, LMG 8787, NBRC 12676, NCIB 11029, VKM B-1210	yes	no
Curtobacterium oceanosedimentum	ATCC 31317	yes	no
Curtobacterium plantarum	ATCC 49174, CL63, DSM 7069	yes	no
Curtobacterium pusillum	ATCC 19096, CIP 81.24, DSM 20527, IAM 1479, IFO 12674, IMET 11077, JCM 1350, LMG 8788, NBRC 12674, NCIB 10354, VKM Ac-2099	yes	no
Curvibacter delicatus	ATCC 14667, CCUG 15846, DSM 11558, IAM 14955, JCM 15147, JCM 21432, LMG 4328, NBRC 14919	yes	yes
Curvibacter fontanus	AQ9, CCTCC AB 206021, CCUG 49444, IAM 15072, JCM 21533	yes	no
Curvibacter gracilis	7-1, ATCC BAA-807, CCUG 49445, IAM 15033, JCM 21496	yes	yes
Curvibacter lanceolatus	ATCC 14669, CCUG 48175, CFBP 5587, CIP 103297, IAM 14947, JCM 21429, NBRC 103051	yes	yes
Cutibacterium acnes	ATCC 6919, ATCC 6919 [[Propionibacterium acnes subsp. elongatum]], CCUG 1794, CCUG 1794 [[Propionibacterium acnes subsp. elongatum]], CIP 53.117, DSM 16379, DSM 1897, DSM 1897 [[Propionibacterium acnes subsp. elongatum]], JCM 18919, JCM 18919 [[Propionibacterium acnes subsp. elongatum]], JCM 6425, JCM 6425 [[Propionibacterium acnes subsp. elongatum]], K124, K124 [[Propionibacterium acnes subsp. elongatum]], LMG 16711, NCTC 13655, NCTC 13655 [[Propionibacterium acnes subsp. elongatum]], NCTC 737, NCTC 737 [[Propionibacterium acnes subsp. elongatum]], NRRL B-4224, VKM Ac-1450	yes	yes
Cutibacterium acnes subsp. defendens	ATCC 11828, CCUG 6369, JCM 6473	yes	yes
Cutibacterium acnes subsp. elongatum	JCM 18919, K124, NCTC 13655	yes	no
Cutibacterium avidum	ATCC 25577, CCUG 36754, CIP 103261, DSM 4901, IFO 15671, NBRC 15671, NCTC 11864	yes	yes
Cutibacterium granulosum	ATCC 25564, CCUG 32987, CIP 103262, DSM 20700, JCM 6498, LMG 16726, NCTC 11865	yes	yes
Cyanobacterium aponinum	PCC 10605	no	yes
Cyanobacterium stanieri	PCC 7202	yes	yes
Cyanobium gracile	PCC 6307	yes	yes
Cyanocohniella calida	CCALA 1049	yes	no
Cyanomargarita calcarea	GSE-NOS12-04C	yes	no
Cyanomargarita melechinii	APA-RS9	yes	no
Cyanosarcina radialis	HA821-2	no	no
Cyclobacterium amurskyense	KCTC 12363, KMM 6143, LMG 23026	yes	yes
Cyclobacterium caenipelagi	CCUG 63247, HD-17, KCTC 32178	yes	no
Cyclobacterium halophilum	CECT 8341, GASx41, IBRC-M 10761	yes	yes
Cyclobacterium jeungdonense	CECT 7706, HMD3055, KCTC 23150	yes	no
Cyclobacterium lianum	CGMCC 1.6102, HY9, JCM 14011	yes	yes
Cyclobacterium marinum	ATCC 25205, DSM 745, LMG 13164, Raj	yes	yes
Cyclobacterium qasimii	KCTC 23011, M12-11B, NBRC 106168	yes	yes
Cyclobacterium xiamenense	CGMCC 1.12432, KCTC 32253, KD51	yes	no
Cycloclasticus pugetii	ATCC 51542, NCIMB 13437, PS-1	yes	yes
Cycloclasticus spirillensus	M4-6	yes	no
Cylindrospermum alatosporum	CCALA 988	yes	no
Cylindrospermum badium	CCALA 1000	yes	no
Cylindrospermum licheniforme	CCALA 995	yes	no
Cylindrospermum majus	CCALA 998, PCC 7604	yes	no
Cylindrospermum marchicum	CCALA 1001	yes	no
Cylindrospermum moravicum	CCALA 993	yes	no
Cylindrospermum pellucidum	CCALA 989	yes	no
Cylindrospermum stagnale	PCC 7417	yes	yes
Cysteiniphilum litorale	CGMCC 1.15758, DSM 101832, KCTC 52386, NBRC 112441, SYSU D3-2	yes	no
Cystobacter armeniaca	CIP 109127, Cb a1, DSM 14710, JCM 12622	yes	no
Cystobacter badius	CIP 109126, Cb b2, DSM 14723, JCM 12623	yes	no
Cystobacter ferrugineus	Cb fe18, DSM 14716, JCM 12624, Windsor M-203	yes	no
Cystobacter fuscus	ATCC 25194, DSM 2262	yes	yes
Cystobacter gracilis	Cb g1, DSM 14753, JCM 12625	yes	no
Cystobacter miniatus	CIP 109119, Cb a24, DSM 14712, JCM 12626	yes	no
Cystobacter velatus	CIP 109132, Cb v34, DSM 14718, JCM 12628	yes	no
Cytophaga allerginae	ATCC 35408, WF-164	no	no
Cytophaga aurantiaca	ATCC 12208, DSM 3654, JCM 8511, NCIB 8628, NCIMB 8628	yes	yes
Cytophaga hutchinsonii	ATCC 33406, CIP 103989, DSM 1761, IFO 15051, IMET 11357, JCM 20678, LMG 10844, NBRC 15051, NCIB 9469, NCIMB 9469	yes	yes
Cytophaga xylanolytica	ATCC 51429, DSM 6779, XM3	yes	no
Dactylococcopsis salina	PCC 8305	yes	yes
Dactylosporangium aurantiacum	ATCC 23491, DSM 43157, IFO 12592, IMET 9028, JCM 3083, NBRC 12592, NRRL B-8018, NRRL B-8111, VKM Ac-654	yes	yes
Dactylosporangium cerinum	CGMCC 4.7152, DSM 46712, NEAU-TPG4	yes	no
Dactylosporangium darangshiense	DLS-44, DSM 45260, JCM 17441, KCTC 19560	yes	no
Dactylosporangium fulvum	ATCC 43301, DSM 43917, IFO 14381, JCM 5631, NBRC 14381, NRRL B-16292, SF-2113	yes	no
Dactylosporangium luridum	BK63, DSM 45324, KACC 20933, NRRL B-24775	yes	no
Dactylosporangium luteum	BK51, DSM 45323, JCM 17685, KACC 20899, NRRL B-24774	yes	no
Dactylosporangium maewongense	BCC 34832, JCM 15933, MW2-25	yes	no
Dactylosporangium matsuzakiense	ATCC 31570, DSM 43810, FERM P 4670, FERM-P 4670, IFO 14259, JCM 3311, NBRC 14259, NRRL B-16293, SF-2052, VKM Ac-1321	yes	no
Dactylosporangium roseum	DSM 43916, IFO 14352, JCM 3364, NBRC 14352, NRRL B-16295, SF-2186	yes	no
Dactylosporangium salmoneum	ATCC 31222, DSM 43910, JCM 3272, NBRC 14103, NRRL B-16294	yes	no
Dactylosporangium siamense	BCC 34901, MW4-36, NBRC 106093	yes	no
Dactylosporangium solaniradicis	CGMCC 4.7302, DSM 100814, NEAU-FJL2	yes	no
Dactylosporangium sucinum	JCM 19831, PCU 333, RY35-23, TISTR 2212	yes	no
Dactylosporangium thailandense	ATCC 23490, DSM 43158, IFO 12593, IMET 9029, JCM 3084, NBRC 12593, VKM Ac-655	yes	no
Dactylosporangium tropicum	BCC 34760, JCM 15673, KB2-4	yes	no
Dactylosporangium vinaceum	ATCC 35207, DSM 43823, IFO 14181, JCM 3307, NBRC 14181, NRRL B-16297, SF-2127, VKM Ac-1322	yes	no
Daeguia caeni	CCUG 54520, K107, KCTC 12981	yes	no
Daejeonia ginsenosidivorans	KACC 18626, LMG 29198, NP5	yes	no
Dakarella massiliensis	CSUR P1938, DSM 100447, ND3	yes	yes
Dankookia rubra	JCM 30602, KACC 18533, WS-10	yes	no
Dapisostemon apicaliramis	CCIBt 3318	yes	no
Dasania marina	DSM 21967, JCM 13441, KCTC 12566, KOPRI 20902	yes	yes
Dechlorobacter hydrogenophilus	ATCC BAA-1869, LT-1	yes	no
Dechloromonas agitata	ATCC 700666, CKB, DSM 13637	yes	no
Dechloromonas denitrificans	ATCC BAA-841, DSM 15892, ED1	yes	yes
Dechloromonas hortensis	ATCC BAA-776, DSM 15637, MA-1	yes	no
Deefgea chitinilytica	BCRC 17934, LMG 24817, Nsw-4	yes	no
Deefgea rivuli	CIP 109326, DSM 18356, WB 3.4-79	yes	yes
Deferribacter abyssi	DSM 14873, JCM 11955, JR	yes	no
Deferribacter autotrophicus	DSM 21529, SL50, VKPM B-10097	yes	no
Deferribacter desulfuricans	DSM 14783, JCM 11476, NBRC 101012, SSM1	yes	yes
Deferribacter thermophilus	ACM 5093, BMA, DSM 14813	no	no
Deferrisoma camini	DSM 24185, S3R1, VKM B-2672	yes	yes
Deferrisoma palaeochoriense	DSM 29363, JCM 30394, MAG-PB1	yes	no
Defluviicoccus vanus	Ben 114, CIP 107350, NCIMB 13612	yes	no
Defluviimonas aestuarii	BS14, JCM 18630, KACC 16442	yes	no
Defluviimonas alba	CGMCC 1.12518, LMG 27406, cai42	yes	yes
Defluviimonas aquaemixtae	CDM-7, CECT 8626, KCTC 42108	yes	no
Defluviimonas denitrificans	ATCC BAA-1447, D9-3, DSM 18921	yes	yes
Defluviimonas indica	20V17, CGMCC 1.10859, JCM 17871, MCCC 1A01802	yes	no
Defluviimonas nitratireducens	DL5-4, LMG 29616, MCCC 1A06955	yes	no
Defluviimonas pyrenivorans	CICC 24263, KCTC 62192, PrR001	yes	no
Defluviitalea phaphyphila	Alg1, CGMCC 1.5199, JCM 30481	yes	yes
Defluviitalea raffinosedens	A6, ACCC 19951, DSM 28090	yes	no
Defluviitalea saccharophila	DSM 22681, JCM 16312, LIND6LT2	yes	no
Defluviitoga tunisiensis	DSM 23805, JCM 17210, SulfLac1	yes	no
Dehalobacter restrictus	DSM 9455, PER-K23	yes	yes
Dehalobacterium formicoaceticum	DMC, DSM 10151	yes	yes
Dehalococcoides mccartyi	195, ATCC BAA-2266, KCTC 15142	yes	yes
Dehalogenimonas alkenigignens	IP3-3, JCM 17062, NRRL B-59545	yes	yes
Dehalogenimonas formicexedens	HAMBI 3672, JCM 19277, NSZ-14, VKM B-3058	yes	yes
Dehalogenimonas lykanthroporepellens	ATCC BAA-1523, BL-DC-9, JCM 15061	yes	yes
Deinobacterium chartae	DSM 21458, HAMBI 2721, K4.1	yes	no
Deinococcus actinosclerus	BM2, JCM 30700, KEMB 5401-184	yes	yes
Deinococcus aerius	DSM 21212, JCM 11750, TR0125	yes	yes
Deinococcus aerolatus	5516T-9, JCM 15442, KACC 12745	yes	no
Deinococcus aerophilus	5516T-11, JCM 15443, KACC 12746	yes	no
Deinococcus aetherius	DSM 21230, JCM 11751, ST0316	yes	no
Deinococcus alpinitundrae	LMG 24283, ME-04-04-52, NRRL B-41948	yes	no
Deinococcus altitudinis	LMG 24022, ME-04-01-32, NRRL B-41947	yes	no
Deinococcus aluminii	ID0501, KACC 19286, NBRC 112889	yes	no
Deinococcus antarcticus	CCTCC AB 2013263, DSM 27864, G3-6-20	yes	no
Deinococcus apachensis	DSM 19763, KR-36, LMG 22135, NRRL B-23948	yes	yes
Deinococcus aquaticus	KCTC 12552, NBRC 101311, PB314	yes	no
Deinococcus aquatilis	CCM 7524, CCUG 53370, DSM 23025	yes	yes
Deinococcus aquiradiocola	CCUG 53612, JCM 14370, JCM 14371, NBRC 102118, TDMA-uv53	yes	no
Deinococcus arenae	JCM 31047, KCTC 33741, SA1	yes	no
Deinococcus budaensis	DSM 101791, FeSTC15-38, NCAIM B.02630	yes	no
Deinococcus caeni	Ho-08, KCTC 12553, NBRC 101312	yes	no
Deinococcus carri	KACC 17965, MA1003, NBRC 110142	yes	no
Deinococcus cellulosilyticus	5516J-15, CIP 109796, DSM 18568, KACC 11606, NBRC 106333	yes	no
Deinococcus citri	DSM 24791, JCM 19024, KCTC 13793, NCCP-154	yes	no
